,close,datetime,high,low,open,volume,sma_10,sma_30,sma_100,bsh
461,236.709,2020-02-20 15:41:00,236.73,236.65,236.73,38821,236.56374999999994,236.54344333333336,236.67198499999986,hold
462,236.7,2020-02-20 15:42:00,236.73,236.6902,236.71,15861,236.58824999999993,236.53944333333337,236.6675849999999,hold
463,236.685,2020-02-20 15:43:00,236.709,236.65,236.7,48685,236.6082499999999,236.53434666666672,236.66393499999992,hold
464,236.735,2020-02-20 15:44:00,236.745,236.67,236.68,87720,236.6349999999999,236.5328466666667,236.66168499999992,hold
465,236.725,2020-02-20 15:45:00,236.775,236.68,236.74,128014,236.65849999999992,236.53234666666674,236.6596349999999,hold
466,236.7,2020-02-20 15:46:00,236.74,236.7,236.715,28807,236.6704999999999,236.53334666666672,236.65738499999992,hold
467,236.65,2020-02-20 15:47:00,236.7195,236.64,236.71,57457,236.68849999999992,236.53401333333338,236.65448499999994,hold
468,236.665,2020-02-20 15:48:00,236.665,236.61,236.64,21810,236.69799999999992,236.53301333333337,236.65208499999997,hold
469,236.635,2020-02-20 15:49:00,236.69,236.635,236.66,9271,236.6914999999999,236.5335133333334,236.64933499999995,hold
470,236.57,2020-02-20 15:50:00,236.641,236.56,236.64,21313,236.67739999999995,236.53418000000005,236.64543499999996,hold
471,236.62,2020-02-20 15:51:00,236.64,236.53,236.57,118020,236.66849999999994,236.53897000000003,236.64153499999998,hold
472,236.66,2020-02-20 15:52:00,236.66,236.6,236.61,49833,236.66449999999995,236.5496366666667,236.63803499999997,hold
473,236.6199,2020-02-20 15:53:00,236.68,236.58,236.655,31991,236.65798999999998,236.55763333333334,236.63398399999997,hold
474,236.43,2020-02-20 15:54:00,236.6,236.36,236.6,74030,236.62748999999994,236.56196666666668,236.628484,hold
475,236.37,2020-02-20 15:55:00,236.45,236.35,236.4399,32024,236.59198999999995,236.5613,236.622234,hold
476,236.41,2020-02-20 15:56:00,236.42,236.37,236.37,11147,236.56298999999996,236.56063333333333,236.61678399999997,hold
477,236.43,2020-02-20 15:57:00,236.49,236.41,236.415,36069,236.5409899999999,236.55996666666667,236.611484,hold
478,236.42,2020-02-20 15:58:00,236.47,236.39,236.42,31502,236.51648999999992,236.56041333333332,236.606284,hold
479,236.38,2020-02-20 15:59:00,236.43,236.34,236.43,49154,236.49098999999995,236.55908,236.601584,hold
480,236.31,2020-02-20 16:00:00,236.38,236.29,236.38,40386,236.46498999999994,236.55774666666667,236.59678600000004,hold
481,236.1488,2020-02-20 16:01:00,236.3,236.14,236.3,46827,236.41786999999994,236.55004,236.589874,hold
482,236.21,2020-02-20 16:02:00,236.25,236.1484,236.155,26328,236.37286999999998,236.5418733333333,236.58257400000002,hold
483,236.12,2020-02-20 16:03:00,236.23,236.1,236.2099,89159,236.32287999999994,236.52970666666667,236.57397400000002,hold
484,236.07,2020-02-20 16:04:00,236.14,236.04,236.11,61319,236.28687999999997,236.51645666666667,236.56412400000002,hold
485,236.142,2020-02-20 16:05:00,236.16,236.06,236.07,52465,236.26407999999998,236.50485666666665,236.555544,hold
486,236.0783,2020-02-20 16:06:00,236.18,236.075,236.15,33948,236.23091,236.48813333333334,236.545527,hold
487,236.0851,2020-02-20 16:07:00,236.09,236.0,236.06,45653,236.19642,236.47530333333333,236.53567800000002,hold
488,236.13,2020-02-20 16:08:00,236.18,236.075,236.09,51464,236.16742,236.4606366666667,236.52627800000002,hold
489,236.0577,2020-02-20 16:09:00,236.13,236.04,236.13,26597,236.13518999999997,236.4392266666667,236.51695500000002,hold
490,235.85,2020-02-20 16:10:00,236.05,235.81,236.05,155049,236.08918999999997,236.4105266666667,236.509755,hold
491,235.69,2020-02-20 16:11:00,235.84,235.65,235.84,80987,236.04330999999996,236.37656000000004,236.500055,hold
492,235.63,2020-02-20 16:12:00,235.67,235.55,235.67,112826,235.98530999999997,236.34089333333338,236.489355,hold
493,235.59,2020-02-20 16:13:00,235.67,235.54,235.6192,96999,235.93231,236.30439333333337,236.478255,hold
494,235.39,2020-02-20 16:14:00,235.6,235.39,235.58,78329,235.86431,236.25956000000005,236.46525499999998,hold
495,235.24,2020-02-20 16:15:00,235.38,235.22,235.38,160152,235.77411,236.21006000000003,236.45220500000002,hold
496,234.97,2020-02-20 16:16:00,235.24,234.94,235.22,210207,235.66328,236.15239333333338,236.44000500000004,hold
497,235.03,2020-02-20 16:17:00,235.11,234.8279,234.97,189904,235.55776999999998,236.09839333333338,236.42680500000006,hold
498,235.21,2020-02-20 16:18:00,235.22,234.99,235.04,130571,235.46576999999996,236.0498933333334,236.41624500000006,hold
499,235.21,2020-02-20 16:19:00,235.28,235.18,235.23,125881,235.381,236.00239333333337,236.40474500000005,hold
500,235.16,2020-02-20 16:20:00,235.195,235.07,235.19,108459,235.31199999999998,235.95539333333338,236.39334500000004,hold
501,235.3,2020-02-20 16:21:00,235.3,235.1,235.1499,66510,235.273,235.9113933333334,236.38394800000006,hold
502,235.2,2020-02-20 16:22:00,235.31,235.165,235.29,89545,235.22999999999996,235.86272666666673,236.37284800000006,hold
503,234.9878,2020-02-20 16:23:00,235.19,234.93,235.19,117766,235.16977999999995,235.8083233333334,236.35912600000003,hold
504,234.86,2020-02-20 16:24:00,235.01,234.84,235.01,106151,235.11677999999998,235.75599000000005,236.34472600000004,hold
505,234.6,2020-02-20 16:25:00,234.87,234.51,234.85,394277,235.05277999999998,235.69699000000006,236.328326,hold
506,234.38,2020-02-20 16:26:00,234.6298,234.37,234.56,262757,234.99378000000002,235.62932333333342,236.31002600000002,hold
